epoch,kl_loss,loss,val_kl_loss,val_loss
0,0.007051229011267424,0.029241666197776794,NA,NA
1,0.006658094935119152,0.023782361298799515,NA,NA
2,0.0066269924864172935,0.02258644998073578,NA,NA
3,0.006659138016402721,0.022028619423508644,NA,NA
4,0.006661920342594385,0.021646101027727127,NA,NA
5,0.006691139657050371,0.021453790366649628,NA,NA
6,0.0067109777592122555,0.021282322704792023,NA,NA
7,0.006736899260431528,0.02116878144443035,NA,NA
8,0.006744065321981907,0.02104949951171875,NA,NA
9,0.0067579117603600025,0.020976023748517036,NA,NA
10,0.006769223604351282,0.020913299173116684,NA,NA
11,0.0067880828864872456,0.020892227068543434,NA,NA
12,0.006787596270442009,0.020827099680900574,NA,NA
13,0.006790787912905216,0.020773807540535927,NA,NA
14,0.006814643274992704,0.020742764696478844,NA,NA
15,0.0068003106862306595,0.020691515877842903,NA,NA
16,0.006812199018895626,0.02065337635576725,NA,NA
17,0.006806669291108847,0.020618712529540062,NA,NA
18,0.006825332995504141,0.020603394135832787,NA,NA
19,0.00681454548612237,0.020561033859848976,NA,NA
20,0.0068182325921952724,0.020332535728812218,NA,NA
21,0.0068092141300439835,0.020246805623173714,NA,NA
22,0.006830266211181879,0.02025293931365013,NA,NA
23,0.006850413512438536,0.020249051973223686,NA,NA
24,0.00683568837121129,0.020198319107294083,NA,NA
25,0.006840548012405634,0.020210610702633858,NA,NA
26,0.006837470456957817,0.020189156755805016,NA,NA
27,0.006829414051026106,0.020193910226225853,NA,NA
28,0.006846330594271421,0.02019670233130455,NA,NA
29,0.006847537588328123,0.020195599645376205,NA,NA
30,0.00684367585927248,0.020178690552711487,NA,NA
31,0.006848370656371117,0.020214559510350227,NA,NA
32,0.006847988814115524,0.020193664357066154,NA,NA
33,0.0068490332923829556,0.020196828991174698,NA,NA
34,0.0068476032465696335,0.02018323726952076,NA,NA
35,0.006844730116426945,0.020177103579044342,NA,NA
36,0.006842631846666336,0.020196836441755295,NA,NA
37,0.006841360591351986,0.020187409594655037,NA,NA
38,0.006839592009782791,0.020182212814688683,NA,NA
39,0.006843253970146179,0.020195886492729187,NA,NA
40,0.006845542229712009,0.02021315135061741,NA,NA
