epoch,kl_loss,loss,val_kl_loss,val_loss
0,0.0029567712917923927,0.018508100882172585,0.003161270637065172,0.016638681292533875
1,0.003215761622413993,0.01675712689757347,0.0030836714431643486,0.01642705872654915
2,0.0033082023728638887,0.016273630782961845,0.003331106621772051,0.01589817740023136
3,0.003347336081787944,0.01606464385986328,0.0032489458099007607,0.015624108724296093
4,0.0033516637049615383,0.015999045222997665,0.003260435536503792,0.015551989898085594
5,0.003349849721416831,0.015951521694660187,0.0033670421689748764,0.015797611325979233
6,0.003348792204633355,0.01591510884463787,0.003374057123437524,0.01577509567141533
7,0.0033577498979866505,0.01579744927585125,0.003353802254423499,0.01530385296791792
8,0.003351641586050391,0.015773823484778404,0.0033019082620739937,0.015329769812524319
9,0.0033472562208771706,0.015762154012918472,0.0033505612518638372,0.01530920248478651
10,0.0033559747971594334,0.015763893723487854,0.003289376851171255,0.015330933034420013
11,0.003351470222696662,0.01574268750846386,0.0033278469927608967,0.015291359275579453
12,0.003354568500071764,0.015745656564831734,0.003340913215652108,0.015303442254662514
13,0.0033554229885339737,0.015742378309369087,0.003338117618113756,0.015302297659218311
14,0.003358922665938735,0.015744924545288086,0.0033270136918872595,0.01528021041303873
15,0.0033509815111756325,0.015735475346446037,0.0033324758987873793,0.0153000857681036
16,0.0033550194930285215,0.015741931274533272,0.0033362905960530043,0.015287349000573158
17,0.003354497952386737,0.015734026208519936,0.0033332884777337313,0.015305222943425179
18,0.0033563191536813974,0.01574106328189373,0.0033373699989169836,0.01530425064265728
19,0.0033550658263266087,0.015728967264294624,0.0033322463277727365,0.01529567688703537
