epoch,loss,val_loss
0,0.015952439978718758,0.010531200096011162
1,0.009183153510093689,0.008441593497991562
2,0.0077911303378641605,0.007492247968912125
3,0.007058586925268173,0.0070904023014009
4,0.006596469786018133,0.0066087073646485806
5,0.006268650759011507,0.006280623842030764
6,0.006014860235154629,0.006107683293521404
7,0.00580705888569355,0.005849193315953016
8,0.00563825573772192,0.005664878990501165
9,0.005501830484718084,0.005539881531149149
10,0.005390448030084372,0.0054675256833434105
11,0.00529906153678894,0.005362149327993393
12,0.005220228806138039,0.005270529072731733
13,0.005153126083314419,0.005238405428826809
14,0.005093920975923538,0.005201039835810661
15,0.005041187163442373,0.005140358582139015
16,0.00499417120590806,0.0051091811619699
17,0.004952831659466028,0.005058126989752054
18,0.0049127680249512196,0.004999096505343914
19,0.004877632949501276,0.004953872878104448
