epoch,loss,val_loss
0,0.012426636181771755,0.009321614168584347
1,0.008653497323393822,0.00826009176671505
2,0.00784131046384573,0.007722679991275072
3,0.007515820674598217,0.007489136420190334
4,0.007289488799870014,0.0072897737845778465
5,0.007110256236046553,0.00716279074549675
6,0.006997121497988701,0.007137798238545656
7,0.006914546247571707,0.007016604766249657
8,0.006854965817183256,0.006949104368686676
9,0.00680736405774951,0.006896806415170431
10,0.006768431514501572,0.006871206685900688
11,0.006735941860824823,0.006832045037299395
12,0.006706663873046637,0.006805545184761286
13,0.006506049074232578,0.006589516997337341
14,0.006492263171821833,0.0065823388285934925
15,0.006486091762781143,0.0065762801095843315
16,0.006480549927800894,0.006571224424988031
17,0.006449216976761818,0.0065416074357926846
18,0.006446629762649536,0.006540454924106598
19,0.0064456649124622345,0.006539677269756794
