epoch,loss,val_loss
0,0.014422440901398659,0.015123221091926098
1,0.008168483152985573,0.013263585045933723
2,0.006337836384773254,0.00946770329028368
3,0.00535042816773057,0.008241676725447178
4,0.004879967775195837,0.0056337034329771996
5,0.004550813231617212,0.005101720802485943
6,0.004216850269585848,0.004356748424470425
7,0.003894353285431862,0.004158536903560162
8,0.0036592583637684584,0.003647593315690756
9,0.0035176591482013464,0.0036536785773932934
10,0.003391669364646077,0.003705637762323022
11,0.003266050247475505,0.004007284063845873
12,0.0026986077427864075,0.002648296533152461
13,0.0026176143437623978,0.0025842348113656044
14,0.002550642006099224,0.002540260786190629
15,0.002492524916306138,0.0024839562829583883
16,0.002445813035592437,0.002435837872326374
17,0.0024084276519715786,0.0023920286912471056
18,0.0023778195027261972,0.002385899657383561
19,0.0023539329413324594,0.00236195744946599
20,0.0023209895007312298,0.0023051511961966753
21,0.002317433012649417,0.0023020838852971792
22,0.002313182922080159,0.0022985993418842554
23,0.002308456925675273,0.0022939199116081
24,0.002304303692653775,0.0022891575936228037
25,0.002303703222423792,0.00228861253708601
26,0.002303151413798332,0.002288045594468713
27,0.0023025977425277233,0.002287486335262656
28,0.002302049659192562,0.0022869380190968513
29,0.0023015043698251247,0.0022863983176648617
30,0.0023009658325463533,0.002285862574353814
31,0.0023004289250820875,0.0022853040136396885
32,0.002299893880262971,0.0022847605869174004
33,0.0022993632592260838,0.002284236019477248
34,0.002298834966495633,0.002283723559230566
35,0.0022983148228377104,0.0022831708192825317
36,0.002297790488228202,0.002282647881656885
37,0.002297277096658945,0.002282144268974662
38,0.0022967616096138954,0.0022816145792603493
39,0.002296247286722064,0.0022810902446508408
40,0.002295736689120531,0.002280614571645856
41,0.0022952272556722164,0.0022801111917942762
42,0.0022947245743125677,0.0022795835975557566
43,0.0022942214272916317,0.0022790776565670967
44,0.0022937210742384195,0.00227855215780437
45,0.002293221652507782,0.0022780648432672024
46,0.0022927287500351667,0.0022776047699153423
47,0.002292236080393195,0.002277102554216981
48,0.0022917476017028093,0.0022766077890992165
49,0.0022912591230124235,0.002276140497997403
