epoch,loss,val_loss
0,0.015024091117084026,0.01026590820401907
1,0.009029040113091469,0.008347664959728718
2,0.007891025394201279,0.0075505743734538555
3,0.007249660324305296,0.007109296973794699
4,0.0068414038978517056,0.0067922212183475494
5,0.00655039818957448,0.006524375174194574
6,0.006351345218718052,0.006362205371260643
7,0.00620611384510994,0.006221283692866564
8,0.006090572103857994,0.006151121575385332
9,0.0059938509948551655,0.006091536954045296
10,0.0059107146225869656,0.0059872460551559925
11,0.00583301018923521,0.005897102877497673
12,0.005760012660175562,0.00582148227840662
13,0.00569926667958498,0.005839006043970585
14,0.005642947740852833,0.005707270465791225
15,0.00559887895360589,0.005670597776770592
16,0.005558605305850506,0.005678486544638872
17,0.0055204760283231735,0.005612104199826717
18,0.0053346953354775906,0.005453583784401417
19,0.005320850759744644,0.00544198090210557
